|MÉTODOS DE ORDENAÇÃO|ARQUIVO ORDENADO				|ARQUIVO EM ORDEM REVERSA		        |ARQUIVO RANDÔMICO
|		     |Comp. 1	|Comp. 2|Mov. 1	|Mov. 2	|Tempo	|Comp. 1|Comp. 2|Mov. 1	|Mov. 2	|Tempo	|Comp. 1|Comp. 2|Mov. 1	|Mov. 2	|Tempo	|

|Insertion Sort	     | 1023	| 1023	| 0	| 3069	| 11825	| 0	| 262399	| 0	| 525822	| 10474606	| 261962	| 262400	| 521878	| 264446	| 5161467	|

|Binary Insertion    | 0	| 0	| 0	| 3069	| 0	| 0	| 523776	| 0	| 525822	| 0	| 0	| 7098	| 0	| 528891	| 0	|

|Select Sort	     | 523776	| 523776	| 2048	| 3069	| 2597114	| 523776	| 523776	| 2048	| 265213	| 2609378	| 523776	| 523776	| 2048	| 7689	| 2600918	|

|Bubble Sort	     | 2045	| 0	| 2044	| 3069	| 30383	| 1023	| 523776	| 0	| 341	| 10170	| 523671	| 523776	| 521878	| 7689	| 8006590	|

|Shake Sort	     | 523776	| 523776	| 0	| 0	| 5517770	| 523776	| 523776	| 0	| 785664	| 5515364	| 523776	| 523776	| 521878	| 1571328	| 8564568	|

|Shell Sort	     | 9217	| 523776	| 9217	| 3069	| 149950	| 9217	| 523776	| 9217	| 341	| 140544	| 27259	| 523776	| 27259	| 7689	| 412659	|

|Heap Sort	     | 524288	| 523776	| 18684	| 3069	| 4056455	| 524288	| 523776	| 18684	| 341	| 4169322	| 524288	| 523776	| 18446	| 7689	| 4053844	|

|Quick Sort 1	     | 527868	| 523776	| 0	| 3069	| 2603570	| 527868	| 523776	| 0	| 341	| 2723326	| 589704	| 523776	| 61836	| 7689	| 3716803	|

|Quick Sort 2	     | 9228	| 523776	| 2048	| 3069	| 53945	| 9238	| 523776	| 4096	| 341	| 57708	| 12058	| 523776	| 13720	| 7689	| 99082	|

|Merge 1	     | 2047	| 523776	| 10240	| 3069	| 125912	| 2047	| 523776	| 10240	| 341	| 124902	| 2047	| 523776	| 10240	| 7689	| 143478	|

|CountingSort	     | 2046	| -1	| 1024	| -1	| 19900	| 2046	| -1	| 1024	| -1	| 20174	| 2046	| -1	| 1024	| -1	| 20073	|

|BucketSort	     | 2046	| -1	| 1024	| -1	| 14963	| 2046	| -1	| 1024	| -1	| 14947	| 2046	| -1	| 1024	| -1	| 14964	|

|Radix		     | 40960	| -1	| 4096	| -1	| 45092	| 40960	| -1	| 4096	| -1	| 45200	| 20480	| -1	| 2048	| -1	| 25133	|

|Comb		     | 19168	| -1	| 0	| -1	| 186376	| 19168	| -1	| 3284	| -1	| 218646	| 19168	| -1	| 6012	| -1	| 245584	|

|Merge 2	     | 5120	| -1	| 10240	| -1	| 154696	| 5120	| -1	| 10240	| -1	| 155090	| 8957	| -1	| 10240	| -1	| 192366	|

|Tim Sort	     | 4576	| -1	| 16352	| -1	| 64491	| 20448	| -1	| 32224	| -1	| 220075	| 15080	| -1	| 24354	| -1	| 142971	|



